Country/Region,year,month_name,mean_cases
Afghanistan,2020,January,0.0
Afghanistan,2020,February,1.0344827586206897
Afghanistan,2020,March,36.806451612903224
Afghanistan,2020,April,838.4
Afghanistan,2020,May,7184.5161290322585
Afghanistan,2020,June,25056.166666666668
Afghanistan,2020,July,34819.74193548387
Afghanistan,2020,August,37583.83870967742
Afghanistan,2020,September,38880.03333333333
Afghanistan,2020,October,40215.967741935485
Afghanistan,2020,November,43462.166666666664
Afghanistan,2020,December,49662.93548387097
Afghanistan,2021,January,53911.58064516129
Afghanistan,2021,February,55467.92857142857
Afghanistan,2021,March,56034.45161290323
Afghanistan,2021,April,57775.333333333336
Afghanistan,2021,May,64256.45161290323
Afghanistan,2021,June,94957.23333333334
Afghanistan,2021,July,136817.67741935485
Afghanistan,2021,August,151484.48387096773
Afghanistan,2021,September,154266.96666666667
Afghanistan,2021,October,155717.35483870967
Afghanistan,2021,November,156707.16666666666
Afghanistan,2021,December,157715.96774193548
Afghanistan,2022,January,159300.64516129033
Afghanistan,2022,February,169976.10714285713
Afghanistan,2022,March,176290.5483870968
Afghanistan,2022,April,178346.3
Afghanistan,2022,May,179427.4193548387
Afghanistan,2022,June,181378.8
Afghanistan,2022,July,183857.0
Afghanistan,2022,August,189578.1935483871
Afghanistan,2022,September,196634.2
Afghanistan,2022,October,201223.12903225806
Afghanistan,2022,November,204671.13333333333
Afghanistan,2022,December,206881.7741935484
Afghanistan,2023,January,208021.0
Afghanistan,2023,February,208984.2857142857
Afghanistan,2023,March,209395.88888888888
Albania,2020,January,0.0
Albania,2020,February,0.0
Albania,2020,March,72.0
Albania,2020,April,521.0666666666667
Albania,2020,May,931.3870967741935
Albania,2020,June,1696.0
Albania,2020,July,3860.0
Albania,2020,August,7428.322580645161
Albania,2020,September,11671.6
Albania,2020,October,16873.677419354837
Albania,2020,November,28874.933333333334
Albania,2020,December,49693.83870967742
Albania,2021,January,67360.09677419355
Albania,2021,February,93241.96428571429
Albania,2021,March,117812.74193548386
Albania,2021,April,128855.33333333333
Albania,2021,May,131908.25806451612
Albania,2021,June,132451.53333333333
Albania,2021,July,132708.4516129032
Albania,2021,August,137512.03225806452
Albania,2021,September,159496.8
Albania,2021,October,177793.25806451612
Albania,2021,November,193383.1
Albania,2021,December,204897.51612903227
Albania,2022,January,232837.7741935484
Albania,2022,February,267542.14285714284
Albania,2022,March,272779.0967741936
Albania,2022,April,274435.4
Albania,2022,May,275642.6129032258
Albania,2022,June,277448.26666666666
Albania,2022,July,295389.06451612903
Albania,2022,August,322416.70967741933
Albania,2022,September,331239.0
Albania,2022,October,332629.51612903224
Albania,2022,November,333182.8333333333
Albania,2022,December,333606.1612903226
Albania,2023,January,334022.4193548387
Albania,2023,February,334276.75
Albania,2023,March,334427.8888888889
Algeria,2020,January,0.0
Algeria,2020,February,0.1724137931034483
Algeria,2020,March,155.58064516129033
Algeria,2020,April,2316.5666666666666
Algeria,2020,May,6819.1612903225805
Algeria,2020,June,11260.633333333333
Algeria,2020,July,21751.16129032258
Algeria,2020,August,38228.25806451613
Algeria,2020,September,48609.666666666664
