Continent,Week,Mean,Standard_Deviation,Min,Max
Africa,1,690.3619047619047,1438.8212331080226,0,9358
America,1,18309.26923076923,91579.79528347988,-1029,1042792
Asia,1,6807.95652173913,23992.77909638263,0,245542
Europe,1,13303.657142857142,40434.44272345549,0,372766
Oceania,1,2918.995670995671,8493.254292313064,-137,51089
Africa,2,926.3904761904762,2316.7973189763748,0,16256
America,2,19978.518315018315,100107.81963417662,0,1354505
Asia,2,6883.190476190476,20277.432048314626,0,198873
Europe,2,13317.881632653061,39668.43886642184,0,359550
Oceania,2,3461.082251082251,11214.64489841534,-105,92264
Africa,3,1278.095238095238,4127.361048128904,0,31401
America,3,19115.846153846152,89142.5298236057,0,1132846
Asia,3,6566.915113871635,19320.336242677637,0,243295
Europe,3,15156.576870748298,45513.003461438755,0,461517
Oceania,3,2046.2207792207791,6084.151827472771,-266,32297
Africa,4,1250.6461538461538,5243.351698733645,0,46914
America,4,12878.770710059172,62723.48297551676,-1524,908747
Asia,4,5912.071906354515,17659.950671081682,0,212234
Europe,4,13389.82087912088,41184.29745447002,0,501635
Oceania,4,1496.7902097902097,4986.570892719197,-129,50258
Africa,5,848.9071428571428,4128.033795899992,0,45474
America,5,8612.646978021978,38468.45685605558,-44,535312
Asia,5,5520.212732919254,16379.705244892937,-13,111157
Europe,5,12308.272448979591,43978.258788539606,-781,847371
Oceania,5,556.8896103896104,3925.0532269868622,-53304,14553
Africa,6,594.4214285714286,2721.9861032525682,0,30782
America,6,6343.931318681319,26345.48631795449,0,342590
Asia,6,5612.39751552795,15982.831032314678,0,111096
Europe,6,10202.129591836734,34483.23866252016,-33955,446255
Oceania,6,683.9642857142857,2296.459542849622,-15121,10213
Africa,7,533.1285714285714,2063.7770703978917,0,21707
America,7,4839.184065934066,17942.451581455316,-927,167199
Asia,7,5961.307453416149,17334.742374489702,-17,109828
Europe,7,7824.7010204081635,26646.0286942361,-5532,411414
Oceania,7,585.9642857142857,2389.6711688299865,-24692,14385
Africa,8,391.40714285714284,1306.2719311927335,0,13632
America,8,4070.0178571428573,14844.27421886845,-134,131385
Asia,8,6617.7453416149065,21573.323407253683,0,171448
Europe,8,6432.581632653061,22058.387814316142,0,381004
Oceania,8,813.3019480519481,2205.293234594878,-154,15016
Africa,9,243.92857142857142,965.8102845034429,0,10036
America,9,3374.0837912087914,12184.607267530038,-3862,96764
Asia,9,7912.728260869565,30178.771493254353,0,266838
Europe,9,5954.6030612244895,20453.463793469236,-74347,346095
Oceania,9,1180.6201298701299,3849.7149446293956,-42,32674
Africa,10,442.584,1747.1208213108973,0,11566
America,10,3268.5984615384614,11520.110009546222,-5156,82471
Asia,10,10011.76,45146.67745926922,-343,454212
Europe,10,7117.507428571428,25447.36805357971,0,387527
Oceania,10,1427.8,4350.218153771311,-1,39773
Africa,11,272.4095238095238,1370.742588577153,0,11196
America,11,3463.641025641026,12009.675834386528,-1073,88652
Asia,11,12596.159420289856,58460.77672824363,-28,621317
Europe,11,9004.963265306122,30894.652111092062,0,476071
Oceania,11,1911.1904761904761,5107.170596591767,0,39135
Africa,12,329.34285714285716,1461.4808732436913,0,11642
America,12,3537.57326007326,12459.279941316478,0,98261
Asia,12,10082.44099378882,46470.420177028784,0,490707
Europe,12,9419.149659863946,33306.10616143794,-2214,484345
Oceania,12,2153.991341991342,5106.883749020694,-19,24762
Africa,13,705.1428571428571,4197.074403284185,0,41576
America,13,3372.8864468864467,11444.192276294852,-130,88725
Asia,13,8807.146997929607,39260.92132531244,0,424528
Europe,13,8637.983673469387,31172.146141687943,-1160,430751
Oceania,13,2106.3506493506493,4853.759075100363,-13,25453
Africa,14,313.4190476190476,1225.8617595307612,0,10996
America,14,4052.3150183150183,13037.964626415582,0,88696
Asia,14,6644.606625258799,27343.798715418703,0,286243
Europe,14,6897.2,25106.977412837223,-17105,311638
Oceania,14,2014.7489177489178,4687.6838219897545,-191,24116
Africa,15,329.3904761904762,1345.9023174009872,0,12504
America,15,3841.331501831502,12399.120650752746,-11193,84387
Asia,15,5252.631469979296,19766.890552038487,-53,210676
Europe,15,5727.900680272109,20100.75407466673,-3534,236935
Oceania,15,1584.030303030303,3550.827780273875,-39,18231
Africa,16,335.0285714285714,1454.7491288954186,0,13850
America,16,3767.404761904762,11831.721536161242,0,88576
Asia,16,3992.6853002070393,13186.73593119297,-589,118445
Europe,16,5217.016326530612,19751.501993857517,-784,277181
Oceania,16,1566.4112554112555,3535.8865304504025,-42,19598
Africa,17,265.74285714285713,1316.6116551775815,0,12889
America,17,3760.525641025641,11754.942000656187,0,89812
Asia,17,3045.2567287784677,9907.595440006284,0,107990
Europe,17,4199.976870748299,14771.20575174889,-10034,194342
Oceania,17,1414.813852813853,3149.340704638706,-1,15530
Africa,18,251.92380952380952,1120.5066307362083,-6,10931
America,18,3846.930402930403,13117.880620478634,-400,129052
Asia,18,2379.368530020704,7157.100989178371,0,51020
Europe,18,3352.7877551020406,10909.026312447912,-1457,113522
Oceania,18,1506.6493506493507,3351.4120609971847,-3023,18091
Africa,19,177.9142857142857,804.1264863464926,-1,7865
America,19,4090.8571428571427,14259.6489725351,-1583,161021
Asia,19,3039.5610766045547,11656.0373736137,0,128954
Europe,19,3006.7496598639455,9848.349280064602,0,107568
Oceania,19,1747.9610389610389,3906.622253163239,-1,16990
Africa,20,194.92380952380952,627.1936073193597,0,5383
America,20,4532.8626373626375,17554.161981764166,-1556,203833
Asia,20,2883.3561076604556,10771.992212089768,-9342,89420
Europe,20,1949.0380952380951,15283.942135819554,-349116,86252
Oceania,20,1741.844155844156,3990.4522432979684,-6,21002
Africa,21,191.75238095238095,505.79938218459205,-573,3252
America,21,4452.710622710622,16370.64885322937,0,210740
Asia,21,2731.2795031055903,10552.808013483129,0,94796
Europe,21,1920.831292517007,6731.346438576098,-29738,64437
Oceania,21,1336.978354978355,3003.361828591836,-5,12876
Africa,22,199.38095238095238,494.3612891894796,0,2046
America,22,4694.241758241758,17609.7869792162,0,228723
Asia,22,2311.4120082815734,9205.176166891486,0,88248
Europe,22,1774.2326530612245,6070.028036064193,-372,61889
Oceania,22,1077.004329004329,2437.699409899558,-3,9644
Africa,23,232.44761904761904,597.0765957330441,0,2373
America,23,4820.736263736264,17042.836322718587,0,198599
Asia,23,2151.0931677018634,8723.178372989196,-2,82990
Europe,23,1858.3251700680273,7570.468522325841,-3250,84655
Oceania,23,1008.6103896103896,2224.8397567456263,-1,10378
Africa,24,270.64761904761906,679.9916286384082,0,3811
America,24,4634.278388278388,16936.185604678496,0,184888
