Province_State,Country_Region,Lat,Long,Month,TrendlineCoef,Cluster
Hubei,China,30.9756,112.2707,1,625.6969604492188,0
Zhejiang,China,29.1832,120.0934,1,55.642425537109375,2
Guangdong,China,23.3417,113.4244,1,45.400001525878906,2
Henan,China,37.8957,114.9042,1,39.2242431640625,2
Hunan,China,27.6104,111.7088,1,37.23636245727539,2
Anhui,China,31.8257,117.2264,1,26.40606117248535,3
Jiangxi,China,27.614,115.7221,1,24.18787956237793,3
Chongqing,China,30.0572,107.874,1,23.733333587646484,3
Shandong,China,36.3427,118.1498,1,21.272727966308594,3
Sichuan,China,30.6171,102.7103,1,19.163637161254883,3
Jiangsu,China,32.9711,119.455,1,18.127273559570312,3
Fujian,China,26.0789,117.9874,1,14.078787803649902,3
Beijing,China,40.1824,116.4142,1,13.975757598876953,3
Shanghai,China,31.202,121.4491,1,13.92727279663086,3
Yunnan,China,24.974,101.487,1,9.533333778381348,1
Shaanxi,China,35.1917,108.8701,1,9.478787422180176,1
Guangxi,China,23.8298,108.7881,1,9.363636016845703,1
Hebei,China,39.549,116.1306,1,9.012121200561523,1
Heilongjiang,China,47.862,127.7615,1,6.503030300140381,1
Hainan,China,19.1959,109.7453,1,5.866666793823242,1
Liaoning,China,41.2956,122.6085,1,5.527272701263428,1
Shanxi,China,37.5777,112.2922,1,4.709090709686279,1
Gansu,China,35.7518,104.2861,1,3.581818103790283,1
Tianjin,China,39.3054,117.323,1,3.5575757026672363,1
Inner Mongolia,China,44.0935,113.9448,1,2.521212100982666,1
Ningxia,China,37.2692,106.1655,1,2.236363649368286,1
Guizhou,China,26.8154,106.8748,1,2.193939447402954,1
Xinjiang,China,41.1129,85.2401,1,1.903030276298523,1
Thailand,Thailand,15.870032,100.992541,1,1.660606026649475,1
Jilin,China,43.6661,126.1923,1,1.5818182229995728,1
Japan,Japan,36.204824,138.252924,1,1.3333333730697632,1
Hong Kong,China,22.3,114.2,1,1.2909090518951416,1
Singapore,Singapore,1.2833,103.8333,1,1.2909090518951416,1
Qinghai,China,35.7452,95.9956,1,1.078787922859192,1
Taiwan*,Taiwan*,23.7,121.0,1,1.078787922859192,1
Malaysia,Malaysia,4.210484,101.975766,1,0.9878787994384766,1
Macau,China,22.1667,113.55,1,0.7878788113594055,1
"Korea, South","Korea, South",35.907757,127.766922,1,0.7757575511932373,1
US,US,40.0,-100.0,1,0.7696969509124756,1
Germany,Germany,51.165691,10.451526,1,0.6424242258071899,1
France,France,46.2276,2.2137,1,0.5939394235610962,1
New South Wales,Australia,-33.8688,151.2093,1,0.5878787636756897,1
United Arab Emirates,United Arab Emirates,23.424076,53.847818,1,0.5090909004211426,1
Victoria,Australia,-37.8136,144.9631,1,0.2969697117805481,1
Queensland,Australia,-27.4698,153.0251,1,0.2666666805744171,1
Ontario,Canada,51.2538,-85.3232,1,0.20606060326099396,1
Cambodia,Cambodia,11.55,104.9167,1,0.1515151560306549,1
Sri Lanka,Sri Lanka,7.873054,80.771797,1,0.1515151560306549,1
British Columbia,Canada,53.7267,-127.6476,1,0.145454540848732,1
Finland,Finland,61.92411,25.748151,1,0.12727272510528564,1
Nepal,Nepal,28.1667,84.25,1,0.12727272510528564,1
Hubei,China,30.9756,112.2707,2,2305.45361328125,1
"Korea, South","Korea, South",35.907757,127.766922,2,66.33842468261719,0
Diamond Princess,Diamond Princess,0.0,0.0,2,33.04679870605469,3
Henan,China,37.8957,114.9042,2,26.76995086669922,3
Guangdong,China,23.3417,113.4244,2,24.308374404907227,3
